FIPS,County,Population,Area (km^2),Latitude,Longitude
12029,Dixie,16422,2236.843,29.580899,-83.195666
12031,Duval,864263,2378.781,30.335245,-81.648113
12033,Escambia,297619,2265.474,30.611664,-87.33904
12035,Flagler,95696,1478.429,29.474894,-81.286362
12037,Franklin,11549,2658.607,29.810176,-84.799174
12039,Gadsden,46389,1368.881,30.57917,-84.612783
12041,Gilchrist,16939,920.064,29.723456,-82.795801
12043,Glades,12884,2555.925,26.95481,-81.19082
12045,Gulf,15863,1956.894,29.907257,-85.256537
12047,Hamilton,14799,1344.349,30.491102,-82.951049
12049,Hardee,27731,1653.289,27.492846,-81.82158
12051,Hendry,39140,3082.075,26.53934,-81.151584
12053,Hernando,172778,1525.558,28.567911,-82.464835
12055,Highlands,98786,2864.616,27.342627,-81.340921
12057,Hillsborough,1229226,3278.314,27.90659,-82.349568
12059,Holmes,19927,1266.626,30.866222,-85.812959
12061,Indian River,138028,1598.038,27.700638,-80.574803
12063,Jackson,49746,2472.31,30.787812,-85.210374
12065,Jefferson,14761,1648.618,30.424558,-83.890859
12067,Lafayette,8870,1419.075,29.990066,-83.17851
12069,Lake,297052,2996.523,28.764113,-81.712282
12071,Lee,618754,3140.26,26.552134,-81.89225
12073,Leon,275487,1817.626,30.45931,-84.2778
12075,Levy,40801,3659.121,29.284409,-82.783483
12077,Liberty,8365,2183.678,30.259849,-84.868581
12079,Madison,19224,1853.612,30.447228,-83.470437
12081,Manatee,322833,2312.027,27.481386,-82.365784
12083,Marion,331298,4306.141,29.202805,-82.0431
12085,Martin,146318,1949.817,27.079954,-80.398211
12086,Miami-Dade,2496435,6296.734,25.610494,-80.499045
12087,Monroe,73090,9680.143,25.601043,-81.206777
12089,Nassau,73314,1880.126,30.605926,-81.764929
12091,Okaloosa,180822,2802.57,30.665858,-86.594194
12093,Okeechobee,39996,2310.028,27.385592,-80.887388
12095,Orange,1145956,2598.431,28.514435,-81.323295
12097,Osceola,268685,3900.278,28.059027,-81.139312
12099,Palm Beach,1320134,6171.965,26.645763,-80.448673
12101,Pasco,464697,2249.285,28.302024,-82.455707
12103,Pinellas,916542,1575.042,27.903122,-82.739518
12105,Polk,602095,5207.302,27.953115,-81.692783
12107,Putnam,74364,2141.717,29.606006,-81.740894
12109,St. Johns,190039,2127.74,29.890593,-81.383914
12111,St. Lucie,277789,1782.188,27.380775,-80.443364
12113,Santa Rosa,151372,3040.069,30.703633,-87.014255
12115,Sarasota,379448,1878.632,27.184386,-82.365835
12117,Seminole,422718,894.308,28.690079,-81.13198
12119,Sumter,93420,1501.741,28.714294,-82.074715
12121,Suwannee,41551,1792.935,30.189244,-82.992754
12123,Taylor,22570,3191.386,30.016943,-83.616417
12125,Union,15535,646.856,30.05428,-82.366918
12127,Volusia,494593,3709.99,29.057617,-81.161813
12129,Wakulla,30776,1905.521,30.140378,-84.375136
12131,Walton,55043,3210.536,30.631211,-86.176614
12133,Washington,24896,1595.314,30.602217,-85.662797
13001,Appling,18236,1326.751,31.739712,-82.290103
13003,Atkinson,8375,892.338,31.300562,-82.883614
13005,Bacon,11096,740.277,31.563327,-82.387859
13007,Baker,3451,904.264,31.319622,-84.454857
13009,Baldwin,45720,692.591,33.059532,-83.255362
13011,Banks,18395,605.763,34.351922,-83.498441
13013,Barrow,69367,422.016,33.992009,-83.712303
13015,Bartow,100157,1217.588,34.240918,-84.838188
13017,Ben Hill,17634,657.616,31.740776,-83.14719
13019,Berrien,19286,1185.911,31.274308,-83.231906
13021,Bibb,155547,661.394,32.808844,-83.694193
