,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2437,TN,Carter,56374,23715.89739,11749.68495,933.5707336,2004.093945,4588.989647,4057.444577,22849.56296,322.2329198,396.8769665,46.89089591,51.21044817,440.0001533,12.9,5.7,35053,23.6,9.050183952,1,25.20073581,-0.100367905,5.79926419,32.1003679,53.75744423
2438,TN,Cheatham,39573,436.3837273,221.9552877,280.9399872,34.98137574,115.027702,51.62643158,401.5274876,15.04608287,8.974662955,4.081522096,0.145485125,15.58315209,12.9,5.7,56447,10.6,5,1,18.05018395,0,4.949816048,18,40.38270775
2439,TN,Chester,17106,2223.722031,980.18737,205.6042616,202.7365312,514.5896613,391.9793621,2039.568698,125.8013747,42.53779309,3.204526793,8.233372298,46.91405167,12.9,5.7,43452,19,5,0,5.899632095,0,2.899632095,11.05018395,17.65891585
2440,TN,Claiborne,31535,6856.182955,3290.832224,545.6294155,498.723305,1290.03775,1188.96254,6592.020073,54.04014816,52.03178556,68.71995463,27.54059757,110.9010266,12.9,5.7,35193,21.6,4.949816048,0,13.20073581,-0.050183952,5.749080238,16.1003679,32.97909002
2441,TN,Clay,7691,10.77635759,5.121780094,114.9678146,0.739086353,2.304811821,2.126051071,10.77635759,0,0,0,0,0,12.9,5.7,32750,23.7,4.100367905,0,6.050183952,0,1.949816048,5.100367905,9.757750817
2442,TN,Cocke,35068,7579.667247,4170.312272,690.8554767,1072.985903,1630.624214,1231.463441,7198.645353,118.4504988,160.0478023,29.98236242,27.62215229,194.5797922,12.9,5.7,31355,26.4,6,1,32.05018395,2,4.949816048,14.84944814,50.07017417
2443,TN,Coffee,54092,9075.918915,3898.572737,564.4124775,857.1062113,2235.06364,1470.327452,8077.449581,517.8409114,383.9745633,115.0561023,33.09103818,329.8366148,12.9,5.7,44452,15.9,12.1003679,2,48.20073581,2,11,44.35128767,77.51173645
2444,TN,Crockett,14592,108.9791699,38.0402737,193.0133603,5.987659032,24.87581855,22.02021869,104.0289606,1.171090672,1.465565226,0.117109067,0.490918861,3.171090679,12.9,5.7,38474,19.1,2.949816048,0,11,0,3,5,15.61230072
2445,TN,Cumberland,58137,10757.6808,4498.206835,779.736145,676.2974545,1751.516779,3630.044005,10404.39642,35.33004096,239.3570741,71.00652582,40.64402345,204.3037978,12.9,5.7,39472,16.7,10.05018395,1,48.05018395,1.050183952,5.899632095,35.25091976,65.04151337
2446,TN,Davidson,680884,137325.6791,46009.18801,2375.784382,7120.43142,30193.94819,15943.21575,86943.91157,39062.38116,9598.784424,3464.118891,393.8402066,7397.021424,12.9,5.7,51999,17.1,123.6988963,11.05018395,282.5483444,43.60220743,94.84944814,687.4198669,587.5927032
