FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
5003,Ashley,5003,17049,24035,4027,28069,48459,48237,49027,29137,20209,30003,6045,39105,48033,48415,13165,24023,39079,54057,20123
5005,Baxter,5005,40145,47159,12041,40093,47053,5089,48259,26163,22045,47029,17007,17201,38019,47045,36001,12001,37015,19013,47089
5007,Benton,5007,40083,36009,47035,26025,31179,47079,47083,35021,22101,12019,48295,48357,19105,31139,48137,36077,26075,47019,16077
5009,Boone,5009,26005,36101,26161,36095,48265,36001,40037,37065,47093,25021,47021,30053,5089,26163,30019,53057,5015,48089,40045
5011,Bradley,5011,6017,41007,29205,8031,8029,38021,46137,18059,20045,20089,28101,39145,18097,27023,13283,48423,24041,26153,45043
5013,Calhoun,5013,29121,23007,20139,20183,27023,18097,48009,28123,13175,17027,48317,26153,8014,39145,8031,13023,24033,27115,6059
5015,Carroll,5015,53057,31013,37065,55059,19097,37127,48089,36095,36003,31173,40037,30053,26161,36077,26075,47093,16005,47021,30005
5017,Chicot,5017,17079,29095,13149,48497,55113,30097,48415,24001,29173,20029,13251,18161,53011,55075,32005,48151,13165,48315,48261
5019,Clark,5019,13081,55141,21011,18157,54009,48135,12061,1043,27081,51630,48479,28127,35023,34023,32027,29211,17133,6037,39081
5021,Clay,5021,16071,47013,53019,35028,37003,40117,41035,36025,22095,26093,55065,26065,37185,31045,36051,5101,12129,47187,37097
5023,Cleburne,5023,51169,51550,21105,26147,40139,16063,9005,40035,55055,28047,36067,42123,19041,47177,31183,36011,26027,35047,26149
5025,Cleveland,5025,31181,13309,38045,29103,21019,26001,48131,28061,2195,17081,1015,18095,56003,24037,18057,20003,35029,45041,30059
5027,Columbia,5027,48165,26041,32001,6101,51107,13079,54095,13021,48207,34001,29041,28163,46089,17083,39025,1117,55069,48447,45009
5029,Conway,5029,31175,40149,47127,29201,28109,37167,18141,38027,13185,21095,21131,42039,36079,51181,23031,48163,37123,19157,26087
5031,Craighead,5031,19197,48361,55101,47145,19097,37005,16077,47125,36077,37009,47105,22057,38105,31013,47161,5015,31179,31173,16005
5033,Crawford,5033,31171,33005,46135,48271,17043,47039,51117,47135,38049,35043,39035,26037,29181,21231,12077,26067,22121,39085,22033
5035,Crittenden,5035,48239,40133,37039,31053,37107,46123,39051,16011,12113,51155,44005,22011,48327,44009,27119,39069,21177,19195,12033
5037,Cross,5037,31037,39171,1003,40125,48241,21047,38053,19163,42023,4001,55089,29109,37191,36043,48351,47107,19189,9011,17161
5039,Dallas,5039,28129,31061,27017,29001,20031,55097,23017,17189,18023,8085,48329,42125,21043,27173,1009,13091,27083,51099,13315
5041,Desha,5041,17047,13109,18135,48365,49001,31169,56033,24045,54079,38073,13223,17001,27085,48273,8087,32011,20101,16061,42009
5043,Drew,5043,8001,28075,55078,18065,29127,26097,17025,1029,16059,48183,20121,32015,24041,6003,13043,42111,39087,20089,39053
5045,Faulkner,5045,42121,21133,47051,48013,28131,51700,20129,53063,17153,48471,51199,13101,6047,19143,37153,55021,31077,21007,17003
