,CTYNAME,POPESTIMATE2017
1194,West Feliciana Parish,15380
1195,Winn Parish,14311
1197,Androscoggin County,107651
1198,Aroostook County,67653
1199,Cumberland County,292500
1200,Franklin County,29988
1201,Hancock County,54497
1202,Kennebec County,121821
1203,Knox County,39790
1204,Lincoln County,34204
1205,Oxford County,57439
1206,Penobscot County,151957
1207,Piscataquis County,16773
1208,Sagadahoc County,35392
1209,Somerset County,50626
1210,Waldo County,39832
1211,Washington County,31593
1212,York County,204191
1214,Allegany County,71615
1215,Anne Arundel County,573235
1216,Baltimore County,832468
1217,Calvert County,91502
1218,Caroline County,33193
1219,Carroll County,167781
1220,Cecil County,102746
1221,Charles County,159700
1222,Dorchester County,32162
1223,Frederick County,252022
1224,Garrett County,29233
1225,Harford County,252160
1226,Howard County,321113
1227,Kent County,19384
1228,Montgomery County,1058810
1229,Prince George's County,912756
1230,Queen Anne's County,49770
